2026-02-09 05:12:47,931 | WORKER:203553:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 24
2026-02-09 05:12:48,540 | WORKER:203547:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 42
2026-02-09 05:13:45,389 | WORKER:203546:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 45
2026-02-09 05:13:45,483 | WORKER:203550:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 12
2026-02-09 05:13:46,237 | WORKER:281776:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 0
2026-02-09 05:13:47,932 | WORKER:203553:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 24
2026-02-09 05:13:48,540 | WORKER:203547:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 42
2026-02-09 05:14:45,390 | WORKER:203546:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 45
2026-02-09 05:14:45,484 | WORKER:203550:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 12
2026-02-09 05:14:46,237 | WORKER:281776:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 0
2026-02-09 05:14:47,932 | WORKER:203553:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 24
2026-02-09 05:14:48,541 | WORKER:203547:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 42
2026-02-09 05:15:45,391 | WORKER:203546:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 45
2026-02-09 05:15:45,485 | WORKER:203550:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 12
2026-02-09 05:15:46,238 | WORKER:281776:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 0
2026-02-09 05:15:47,933 | WORKER:203553:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 24
2026-02-09 05:15:48,543 | WORKER:203547:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 42
2026-02-09 05:16:45,392 | WORKER:203546:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 45
2026-02-09 05:16:45,486 | WORKER:203550:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 12
2026-02-09 05:16:46,239 | WORKER:281776:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 0
2026-02-09 05:16:47,933 | WORKER:203553:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 24
2026-02-09 05:16:48,544 | WORKER:203547:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 42
2026-02-09 05:17:45,394 | WORKER:203546:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 45
2026-02-09 05:17:45,487 | WORKER:203550:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 12
2026-02-09 05:17:46,239 | WORKER:281776:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 0
2026-02-09 05:17:47,934 | WORKER:203553:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 24
2026-02-09 05:17:48,545 | WORKER:203547:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 42
2026-02-09 05:18:45,394 | WORKER:203546:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 45
2026-02-09 05:18:45,488 | WORKER:203550:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 12
2026-02-09 05:18:46,240 | WORKER:281776:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 0
2026-02-09 05:18:47,935 | WORKER:203553:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 24
2026-02-09 05:18:48,546 | WORKER:203547:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 42
2026-02-09 05:19:45,395 | WORKER:203546:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 45
2026-02-09 05:19:45,488 | WORKER:203550:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 12
2026-02-09 05:19:46,240 | WORKER:281776:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 0
2026-02-09 05:19:47,935 | WORKER:203553:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 24
2026-02-09 05:19:48,546 | WORKER:203547:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 42
2026-02-09 05:20:45,395 | WORKER:203546:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 45
2026-02-09 05:20:45,489 | WORKER:203550:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 12
2026-02-09 05:20:46,242 | WORKER:281776:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 0
2026-02-09 05:20:47,936 | WORKER:203553:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 24
2026-02-09 05:20:48,547 | WORKER:203547:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 42
2026-02-09 05:21:45,397 | WORKER:203546:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 45
